score_resting_hr,score_temperature,score_activity_balance,score_previous_day,score_previous_night,summary_date,period_id,score,score_recovery_index,score_sleep_balance
56,63,70,59,1,2016-05-27,0,48,7,44
100,97,77,74,72,2016-05-28,0,77,100,53
100,86,84,33,33,2016-05-29,0,61,82,41
94,100,75,58,15,2016-05-30,0,46,14,20
86,86,71,66,90,2016-05-31,0,70,100,30
100,97,72,66,55,2016-06-01,0,65,86,27
86,97,76,70,80,2016-06-02,0,66,51,36
94,97,83,61,77,2016-06-04,0,78,100,61
94,86,85,76,43,2016-06-05,0,64,27,53
100,97,87,65,45,2016-06-06,0,68,78,46
1,72,75,62,1,2016-06-08,0,32,70,1
85,51,83,0,75,2016-06-08,1,55,90,1
100,86,73,73,98,2016-06-09,0,69,100,1
76,75,66,74,47,2016-06-10,0,55,68,1
30,75,29,1,1,2016-06-11,0,28,7,1
85,86,1,0,1,2016-06-20,0,26,23,1
100,52,35,56,50,2016-06-20,1,49,36,1
100,75,59,56,30,2016-06-22,0,54,56,1
98,75,76,73,1,2016-06-23,0,53,74,1
90,87,69,69,43,2016-06-24,0,55,99,1
98,95,62,55,22,2016-06-26,0,48,57,8
81,96,62,71,1,2016-06-27,0,37,36,1
50,100,69,68,45,2016-06-28,0,40,49,1
1,86,80,66,1,2016-06-29,1,21,57,1
100,86,90,0,43,2016-07-01,0,54,65,1
100,94,99,0,37,2016-07-04,0,62,70,27
100,100,99,70,50,2016-07-05,0,69,93,32
100,96,96,75,45,2016-07-06,0,71,79,48
100,100,87,64,20,2016-07-07,0,62,77,44
36,62,83,66,47,2016-07-08,0,55,100,53
68,100,85,67,12,2016-07-09,0,51,71,40
100,97,89,64,72,2016-07-10,0,78,95,59
100,80,90,79,35,2016-07-11,0,74,100,64
98,96,91,77,55,2016-07-12,0,75,69,64
100,85,96,64,52,2016-07-13,0,78,51,68
100,97,99,58,60,2016-07-14,0,77,72,71
96,100,99,43,72,2016-07-16,0,87,100,100
100,86,92,77,70,2016-07-17,0,87,66,100
100,100,86,73,80,2016-07-18,0,91,100,100
95,86,82,82,70,2016-07-19,0,89,100,100
87,97,83,58,80,2016-07-21,0,86,100,100
100,100,84,83,75,2016-07-22,0,91,100,100
87,100,78,70,70,2016-07-23,0,85,100,100
56,97,71,66,25,2016-07-24,0,65,82,100
57,94,65,66,1,2016-07-25,0,43,27,51
81,96,65,72,60,2016-07-25,1,68,95,52
81,96,75,0,58,2016-07-26,0,70,100,58
50,74,63,64,1,2016-07-27,0,47,55,31
82,86,63,64,87,2016-07-28,0,70,89,43
1,74,80,0,40,2016-07-30,0,46,52,47
68,86,88,0,58,2016-07-31,0,67,100,54
100,100,86,71,62,2016-08-01,0,76,100,55
98,86,91,52,62,2016-08-02,0,76,89,64
90,86,89,62,68,2016-08-03,0,76,73,72
82,74,95,0,37,2016-08-05,0,77,100,98
82,86,98,0,70,2016-08-07,0,86,81,100
87,85,85,53,62,2016-05-20,0,77,78,81
25,51,86,51,65,2016-05-21,0,57,44,81
88,63,84,89,85,2016-05-22,0,81,67,90
95,97,87,60,33,2016-05-23,0,71,68,79
79,97,80,66,80,2016-05-24,0,81,96,88
95,100,72,69,62,2016-05-25,0,81,100,85
87,97,72,70,55,2016-05-26,0,74,68,81
90,97,99,42,58,2016-08-10,0,83,100,100
98,97,99,75,80,2016-08-11,0,91,87,100
90,99,96,0,58,2016-08-13,0,85,84,100
99,85,96,48,75,2016-08-15,0,86,93,100
99,97,89,0,65,2016-08-17,0,90,97,100
48,86,92,53,83,2016-08-19,0,78,100,100
11,74,81,58,33,2016-08-20,0,59,19,100
100,97,88,63,22,2016-08-22,0,57,25,41
74,97,93,0,80,2016-08-23,0,67,40,53
20,92,84,66,37,2016-08-24,0,42,45,43
83,100,84,66,98,2016-08-25,0,79,77,66
75,92,77,71,52,2016-08-26,0,69,66,77
100,92,81,44,1,2016-08-29,0,61,77,63
67,63,80,70,80,2016-08-30,0,68,100,64
100,92,78,75,70,2016-08-31,0,79,77,71
98,100,82,68,68,2016-09-01,0,77,71,71
98,86,77,61,5,2016-09-03,0,62,45,75
86,97,83,65,15,2016-09-04,0,58,65,52
100,100,74,68,80,2016-09-17,0,83,49,94
100,100,72,76,85,2016-09-18,0,90,93,96
57,91,77,56,27,2016-09-27,0,58,74,73
77,100,83,83,80,2016-10-14,0,84,100,92
100,100,76,77,100,2016-09-19,0,95,100,100
100,86,83,77,65,2016-09-16,0,86,91,92
99,100,84,72,55,2016-09-05,0,72,100,44
100,100,91,60,75,2016-09-06,0,78,74,65
87,74,87,75,62,2016-09-07,0,74,65,63
100,97,86,77,98,2016-09-09,0,92,100,85
92,100,93,0,55,2016-09-11,0,80,74,87
85,92,93,77,80,2016-09-12,0,88,100,96
85,100,91,69,72,2016-09-13,0,83,100,89
97,100,78,80,52,2016-09-20,0,83,80,100
100,97,83,67,12,2016-09-21,0,68,52,83
80,80,88,48,1,2016-09-22,0,60,66,53
99,100,89,60,45,2016-09-23,0,74,100,62
56,86,90,43,77,2016-09-24,0,66,73,67
100,100,92,47,65,2016-09-25,0,79,100,70
64,91,75,11,55,2016-09-26,0,59,62,72
100,96,86,0,55,2016-10-23,0,80,72,84
81,82,78,83,68,2016-09-28,0,78,100,77
100,94,84,0,62,2016-09-29,0,84,98,82
1,85,56,1,25,2016-09-30,0,45,73,72
100,85,64,71,68,2016-10-01,0,80,100,77
100,97,73,0,72,2016-10-02,0,84,100,79
94,93,86,78,75,2016-10-06,1,84,69,91
95,96,77,74,65,2016-10-18,1,83,64,100
100,100,71,34,85,2016-10-21,1,87,100,100
92,100,89,74,93,2016-10-24,1,89,100,87
87,83,81,0,75,2016-10-04,0,82,100,84
100,89,96,0,80,2016-10-08,0,94,100,98
100,95,84,73,65,2016-10-05,0,82,77,85
94,93,86,78,75,2016-10-06,0,84,69,91
49,100,95,68,27,2016-11-04,0,60,79,74
100,100,96,61,68,2016-11-05,0,82,100,74
100,83,99,53,45,2016-10-10,0,81,98,94
77,95,90,0,12,2016-10-12,0,59,56,70
77,97,85,0,70,2016-10-13,0,71,56,69
77,98,82,0,65,2016-10-13,1,70,57,69
92,100,89,74,93,2016-10-24,0,89,100,87
95,96,77,74,65,2016-10-18,0,83,64,100
79,100,99,59,55,2016-11-09,0,67,44,67
100,100,77,78,72,2016-10-20,0,81,13,100
67,63,92,0,10,2016-08-21,0,56,100,53
100,88,99,50,62,2016-10-31,0,84,99,91
